City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
466,Lyuban,BY,52.7985,28.0048,36.23,98,100,5.77,overcast clouds
467,Hokitika,NZ,-42.7167,170.9667,58.28,92,100,3.98,overcast clouds
468,Unai,BR,-16.3575,-46.9061,74.62,88,100,0.49,overcast clouds
469,Elko,US,41.0002,-115.5012,44.62,52,100,3.15,overcast clouds
470,Zheleznodorozhnyy,RU,55.7503,38.0042,25.36,92,100,7.83,overcast clouds
471,Ewa Beach,US,21.3156,-158.0072,82.35,60,75,13.8,broken clouds
472,Mogzon,RU,51.7435,111.9606,6.76,89,99,4.65,overcast clouds
473,Moose Factory,CA,51.2585,-80.6094,23.0,93,90,5.75,snow
474,Birin,NP,26.8865,88.0718,45.37,72,1,4.72,clear sky
475,Megion,RU,61.0296,76.1136,-1.98,99,99,3.47,overcast clouds
476,Namie,JP,37.4833,141.0,42.96,65,25,16.93,scattered clouds
477,Flin Flon,CA,54.7682,-101.865,10.24,85,90,3.44,overcast clouds
478,Marrakesh,MA,31.6315,-8.0083,55.47,41,0,4.61,clear sky
479,Marabba,SD,12.35,32.1833,80.73,24,11,8.66,few clouds
480,Bambanglipuro,ID,-7.95,110.2833,61.61,84,96,3.13,overcast clouds
481,Burnie,AU,-41.0667,145.9167,62.92,67,83,11.61,broken clouds
482,Brownfield,US,33.1812,-102.2744,67.95,19,0,18.19,clear sky
483,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.26,94,74,0.63,light rain
484,Nova Dubnica,SK,48.9348,18.1463,29.64,86,76,4.34,broken clouds
485,Bilibino,RU,68.0546,166.4372,-35.41,96,14,4.9,few clouds
486,Ixtapa,MX,20.7,-105.2,79.83,74,1,6.91,clear sky
487,Zapolyarnyy,RU,69.4154,30.8136,25.88,95,76,10.74,broken clouds
488,Spearfish,US,44.4908,-103.8594,47.28,35,1,21.85,clear sky
489,Adelaide,AU,-34.9333,138.6,73.56,70,75,1.99,broken clouds
490,Nacala,MZ,-14.5428,40.6728,77.83,82,59,6.24,broken clouds
491,Banda Aceh,ID,5.5577,95.3222,77.25,85,13,11.97,few clouds
492,Tyler,US,32.3513,-95.3011,58.87,39,1,1.99,clear sky
493,Mushie,CD,-3.0167,16.9,70.03,97,100,1.21,overcast clouds
494,Tazovskiy,RU,67.4667,78.7,-26.41,94,52,5.95,broken clouds
495,Antonina,BR,-25.4286,-48.7119,82.31,97,97,0.85,overcast clouds
496,Aykhal,RU,66.0,111.5,-48.59,100,98,6.17,overcast clouds
497,Kalevala,RU,65.2,31.1667,24.13,97,100,3.24,light snow
498,Hovd,MN,48.0056,91.6419,8.87,59,100,5.14,overcast clouds
499,Youghal,IE,51.95,-7.8506,49.59,100,98,16.11,overcast clouds
